city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Chongqing,pr_post,w70_90,anyhw3,8096,2761,-0.08420805071018791,0.04492048246313831,-0.172252196337939,0.0038360949175631764,0.06084742292275974,,0.12428409788478585
Wuhan,pr_pre,w0_90,hw3,32998,9664,-0.0018479007278148856,0.0009950367785573062,-0.003798172813787206,0.00010237135815743467,0.06329436560425118,,0.12792124416859188
Chongqing,sc_pre,w15_69,hw3,20503,10506,0.0021737612465334813,0.001178234038192652,-0.00013557746832411647,0.004483099961391079,0.06504748460143935,,0.1300949692028787
Wuhan,pr_pre,w70_90,anyhw3,34732,10096,-0.04312256805722126,0.0235403334494922,-0.08926162161822598,0.0030164855037834518,0.06697245335427268,,0.13256403138165315
Wuhan,pr_post,w15_69,hw3,15964,3455,0.0033417168505538775,0.0018283270526828048,-0.00024180417270441975,0.006925237873812174,0.06758773077143657,,0.13241677865424306
Chongqing,pr_post,w0_9,hw3,8092,2744,-0.009181276986082683,0.0050275184382244775,-0.019035213125002656,0.0006726591528372922,0.06781945807422211,,0.13152864596212774
Chongqing,volume,w70_90,tmax,20371,10474,-0.0035138757429882565,0.0019446203888371517,-0.007325331705109074,0.0002975802191325606,0.0707665528656335,,0.13587178150201634
Chongqing,survival_post,w0_9,hw3,5836,1606,-0.007794367970597391,0.004350610577794723,-0.016321564703075046,0.0007328287618802668,0.07320391446917182,,0.13915991661466326
Wuhan,pr_post,w0_90,hw3,15544,3267,0.0025806977543914155,0.0014419323241063868,-0.00024548960085710256,0.005406885109639934,0.07349417989854255,,0.1383419856913742
Wuhan,volume,w70_90,hw3,34687,10083,-0.003848806288062193,0.0021660507636951697,-0.008094265784904726,0.0003966532087803392,0.07558844098000003,,0.1409027249335923
Chongqing,tsc,w15_69,hw3,20503,10506,0.002101518581508677,0.0011941223580562558,-0.00023896124028158433,0.0044419984032989385,0.07842722823444559,,0.14478872904820725
Wuhan,tsc,w0_9,hwp95,34677,10118,-0.013861588273572482,0.007945175575949679,-0.029434132402433852,0.0017109558552888884,0.08104498512889231,,0.14819654423568882
Chongqing,volume,w15_69,tmax,20490,10499,-0.0037440384322825876,0.0021512962449795115,-0.00796057907244243,0.00047250220787725455,0.08179513128743188,,0.14815721893572567
Chongqing,tsc,w70_90,tmax,20384,10482,0.0033637211331658257,0.0019412155897764695,-0.0004410614227960542,0.007168503689127706,0.08313280201274793,,0.149172878378015
Chongqing,sc_pre,w0_90,tmax,20503,10506,0.004038418169340218,0.00235172325866562,-0.0005709594176443976,0.008647795756324834,0.08593960740977573,,0.15278152428404573
Wuhan,pr_pre,w0_9,hw3,34697,10124,-0.007798960791697899,0.004734018600165397,-0.017077637248022075,0.0014797156646262789,0.0994698438569579,,0.1752129359682194
Wuhan,pr_post,w0_90,anyhw3,15544,3267,-0.04860416788738971,0.0304040218632832,-0.10819605073942479,0.010987714964645366,0.10990732661587134,,0.19183824282043
Chongqing,pr_post,w0_9,hwp95,8092,2744,-0.013180491006908147,0.008250998570135816,-0.029352448204374347,0.0029914661905580536,0.11016723420115054,,0.19055954023982796
Chongqing,np_post,w0_9,anyhw3,8092,2744,0.04734085974721103,0.029883030487803105,-0.011229880008883059,0.10591159950330511,0.11314697358179535,,0.19396624042593485
Chongqing,tsc,w0_90,anyhw3,20503,10506,0.037214510891885856,0.023713466958911317,-0.009263884347580326,0.08369290613135204,0.11656855337866333,,0.19806338273188812
Wuhan,pr_post,w70_90,anyhw3,16709,3498,-0.05770607974557379,0.03685587472700088,-0.1299435942104955,0.014531434719347938,0.1174135492565084,,0.19774913558990892
Chongqing,pr_pre,w0_90,hw3,20503,10506,-0.0013343396265661238,0.0008758442829702322,-0.0030509944211877787,0.00038231516805553134,0.12763626915548262,,0.21309707545958836
Wuhan,pr_post,w0_9,tmax,16610,3525,-0.0033491117744054344,0.0022302693497345425,-0.0077204396998851385,0.0010222161510742693,0.133184301702153,,0.22044298212770153
Chongqing,sc_pre,w0_90,anyhw3,20503,10506,0.03584913518593264,0.02487982796667586,-0.012915327628752048,0.08461359800061732,0.14961530888256033,,0.24552255816625285
Chongqing,tsc,w70_90,hw3,20384,10482,0.0033773085347851366,0.002363727104321311,-0.0012555965896846326,0.008010213659254906,0.15305987095312712,,0.24904656968644412
Chongqing,pr_post,w0_90,tmax,8143,2764,0.004857167000702541,0.0034193164270213336,-0.0018446931962592724,0.011559027197664355,0.15545978494421933,,0.2508258715066396
Chongqing,sc_pre,w15_69,hwp95,20503,10506,0.0037459274762270817,0.0026507713971250816,-0.001449584462138078,0.008941439414592241,0.15761274707819706,,0.25218039532511527
Wuhan,volume,w70_90,anyhw3,34687,10083,-0.03264615232104853,0.023154634289785387,-0.0780292355290279,0.012736930886930828,0.15856368463800907,,0.2516051855413037
Chongqing,sc_pre,w15_69,tmax,20503,10506,0.0028987565918909735,0.0020651096148977203,-0.0011488582533085582,0.006946371437090505,0.16041365176555533,,0.2524542716310379
