city,outcome,window,expo,n,ndonor,beta,se,p,q,ci_l,ci_u,sig
Wuhan,pr_pre,w0_9,anyhw3,16621,2688,-0.05285341710687419,0.04131056767714341,0.2007504674285152,0.3163340698873573,-0.13382212975407526,0.028115295540326893,
Chongqing,np_post,w70_90,hwp95,8143,2763,0.04880340169908666,0.03864541701992957,0.20664274934734117,0.3223626889818522,-0.0269416156599753,0.12454841905814862,
Chongqing,sc_pre,w0_90,hwp95,8143,2763,-0.06145465756017275,0.04998439178909035,0.21889303486467426,0.33809221226622954,-0.15942406546678983,0.03651475034644433,
Chongqing,tsc,w0_90,hwp95,8143,2763,-0.05824943542898065,0.04771158799309278,0.22213691953964632,0.33973881811945905,-0.1517641478954425,0.0352652770374812,
Wuhan,pr_pre,w0_90,hwp95,16621,2688,-0.04788041386351244,0.03941972610350565,0.22450693225633345,0.34002991681541767,-0.1251430770263835,0.029382249299358634,
Wuhan,volume,w0_9,hwp95,16621,2688,-0.0904463534948714,0.07561056302258008,0.2316133712786198,0.34742005691792965,-0.23864305701912836,0.057750350029385555,
Wuhan,sc_pre,w70_90,anyhw3,16621,2688,-0.04143019458100944,0.03509054403538192,0.23773563357937888,0.3532072270322201,-0.11020766089035801,0.02734727172833913,
Wuhan,volume,w0_9,tmax,16621,2688,0.0030633579026791142,0.0026388712279733183,0.24569916949497317,0.35984747836815245,-0.0021088297041485893,0.008235545509506817,
Wuhan,tsc,w0_9,anyhw3,16621,2688,-0.055875087845070635,0.04824671803550859,0.2468184627268738,0.35984747836815245,-0.15043865519466748,0.0386884795045262,
Wuhan,volume,w0_9,anyhw3,16621,2688,-0.055198302084175484,0.04863333278641609,0.2563798899404013,0.37032650769169073,-0.15051963434555102,0.04012303017720006,
Chongqing,sc_pre,w15_69,hwp95,8143,2763,-0.056181565457377965,0.050314332079329616,0.2641604414407903,0.37584520176740904,-0.15479765633286402,0.042434525418108084,
Wuhan,tsc,w15_69,tmax,16621,2688,-0.003106787762529514,0.002787340249536222,0.26501905252830127,0.37584520176740904,-0.008569974651620509,0.0023563991265614813,
Chongqing,np_post,w15_69,anyhw3,8143,2763,0.03397145225246801,0.03080352597198233,0.2700953614154694,0.3795934809082273,-0.026403458652617354,0.09434636315755338,
Chongqing,np_post,w70_90,tmax,8143,2763,-0.0023969162132777013,0.002370682371106868,0.3119848680692475,0.43455035195359476,-0.007043453660647164,0.0022496212340917606,
Wuhan,pr_pre,w70_90,tmax,16621,2688,0.0024002651116393943,0.002439682544019261,0.3251926087194207,0.44893846867459847,-0.002381512674638357,0.007182042897917146,
Chongqing,sc_pre,w15_69,anyhw3,8143,2763,0.039530536870711334,0.040603942128842885,0.33027306157618863,0.451045424455627,-0.04005318970182072,0.11911426344324338,
Chongqing,pr_pre,w0_9,anyhw3,8102,2745,-0.034452183753807715,0.03555115166133194,0.33250143469485327,0.451045424455627,-0.10413244101001831,0.035228073502402875,
Chongqing,volume,w0_90,anyhw3,8143,2763,-0.0398559639661692,0.04249233214863369,0.3482667071255672,0.46835867509990065,-0.12314093497749123,0.043429007045152825,
Wuhan,pr_post,w0_9,tmax,16621,2688,-0.0021881817912398098,0.00237478232420991,0.3568290235650087,0.47577203142001157,-0.006842755146691234,0.002466391564211614,
Chongqing,sc_pre,w70_90,anyhw3,8143,2763,0.04503381815692556,0.04919755422903182,0.3599989907942126,0.4759308691855692,-0.0513933881319768,0.14146102444582792,
Chongqing,sc_post,w70_90,hwp95,8143,2763,-0.05367070889962674,0.06050312252813354,0.3750393993263925,0.4903110483514315,-0.17225682905476847,0.064915411255515,
Chongqing,tsc,w70_90,hwp95,8143,2763,-0.05361534500087037,0.06071012206710619,0.37716234488571654,0.4903110483514315,-0.1726071842523985,0.06537649425065775,
Wuhan,volume,w70_90,tmax,16621,2688,-0.0023607667867187854,0.0027658705460489857,0.3933627931027138,0.5071454192068047,-0.007781873056974798,0.0030603394835372268,
Wuhan,pr_pre,w70_90,hwp95,16621,2688,-0.043967484344703635,0.0519136085926419,0.39703100629256594,0.5076789916527892,-0.14571815718628175,0.05778318849687449,
